MemberID,Age,Gender,MembershipType,MonthlyFee,JoinDate,LastVisitDate,VisitsLast30Days,PersonalTrainingSessionsLast90Days,PaymentMethod,InactivityDays,Cancelled
1,33,M,Basic,19.99,2023-08-17,2023-09-11,7,1,PayPal,874,1
2,43,M,Basic,19.99,2023-06-28,2025-02-21,8,1,PayPal,345,1
3,50,F,Basic,19.99,2024-02-12,2025-12-08,2,1,SEPA,55,0
4,33,M,Basic,19.99,2025-05-15,2025-11-05,9,0,SEPA,88,1
5,54,F,Basic,19.99,2025-01-05,2025-06-30,5,0,Credit Card,216,0
6,34,D,Elite,49.99,2023-06-11,2024-12-27,10,1,SEPA,401,1
7,34,M,Basic,19.99,2023-04-04,2024-07-13,8,0,Credit Card,568,1
8,38,M,Elite,49.99,2023-11-30,2024-12-13,6,7,PayPal,415,1
9,31,M,Premium,34.99,2023-12-17,2025-06-15,0,5,PayPal,231,1
10,19,M,Basic,19.99,2024-03-25,2025-02-20,7,0,PayPal,346,1
11,47,F,Elite,49.99,2024-10-06,2025-01-22,4,3,PayPal,375,1
12,53,F,Premium,34.99,2024-06-22,2025-09-03,10,7,SEPA,151,1
13,25,D,Basic,19.99,2023-04-07,2023-11-17,7,0,Credit Card,807,1
14,32,D,Basic,19.99,2025-08-16,2025-12-29,5,0,Credit Card,34,0
15,34,F,Basic,19.99,2024-11-27,2025-01-23,0,2,Credit Card,374,0
16,27,D,Basic,19.99,2025-10-22,2026-01-27,8,0,PayPal,5,0
17,39,M,Elite,49.99,2024-02-12,2024-07-17,16,1,PayPal,564,0
18,17,M,Premium,34.99,2024-10-25,2025-07-02,13,0,SEPA,214,1
19,21,M,Elite,49.99,2024-05-08,2025-12-09,6,3,SEPA,54,0
20,46,D,Basic,19.99,2023-09-20,2025-07-26,5,5,SEPA,190,1
21,41,D,Elite,49.99,2024-02-16,2024-12-31,1,6,SEPA,397,1
22,37,M,Elite,49.99,2024-04-05,2024-06-09,2,2,PayPal,602,1
23,20,M,Premium,34.99,2023-05-01,2023-12-21,10,1,SEPA,773,1
24,52,D,Premium,34.99,2023-09-28,2025-10-07,8,3,SEPA,117,1
25,43,F,Premium,34.99,2023-07-18,2025-05-22,1,3,PayPal,255,1
26,41,D,Premium,34.99,2023-07-21,2023-09-21,8,0,PayPal,864,1
27,43,M,Premium,34.99,2025-07-07,2025-08-11,0,1,PayPal,174,1
28,50,M,Basic,19.99,2023-07-20,2023-09-09,12,0,Credit Card,876,1
29,41,M,Basic,19.99,2025-09-12,2025-11-05,0,5,Credit Card,88,1
30,51,D,Elite,49.99,2024-08-07,2025-10-14,5,3,SEPA,110,1
31,36,M,Basic,19.99,2023-05-05,2025-06-08,1,0,SEPA,238,0
32,48,M,Basic,19.99,2023-04-27,2026-01-04,7,1,Credit Card,28,0
33,31,D,Elite,49.99,2023-09-03,2025-04-08,9,3,PayPal,299,1
34,32,M,Elite,49.99,2025-12-06,2025-12-26,7,1,PayPal,37,0
35,36,M,Basic,19.99,2024-09-06,2025-12-18,0,2,SEPA,45,0
36,32,M,Premium,34.99,2024-03-12,2025-08-12,14,0,SEPA,173,1
37,50,D,Premium,34.99,2025-06-16,2026-01-15,0,0,SEPA,17,0
38,24,F,Basic,19.99,2024-09-05,2024-12-20,11,0,Credit Card,408,1
39,29,D,Elite,49.99,2024-03-07,2025-02-21,10,1,SEPA,345,1
40,43,F,Basic,19.99,2023-07-09,2025-04-18,12,1,Credit Card,289,1
41,44,D,Elite,49.99,2023-11-27,2025-12-25,7,3,PayPal,38,1
42,18,F,Elite,49.99,2023-11-02,2025-05-13,3,2,Credit Card,264,1
43,29,D,Basic,19.99,2023-03-23,2025-03-24,4,0,Credit Card,314,1
44,26,M,Premium,34.99,2023-11-13,2024-07-12,14,1,Credit Card,569,1
45,26,D,Basic,19.99,2024-05-23,2025-02-20,5,1,SEPA,346,1
46,35,M,Basic,19.99,2025-07-31,2025-10-28,8,1,SEPA,96,1
47,48,F,Elite,49.99,2024-07-25,2025-07-19,12,2,SEPA,197,0
48,53,F,Basic,19.99,2024-06-18,2024-12-17,9,2,Credit Card,411,1
49,48,M,Premium,34.99,2025-06-12,2025-11-14,10,0,Credit Card,79,1
50,50,D,Elite,49.99,2023-01-04,2025-12-03,14,1,Credit Card,60,1
51,37,D,Premium,34.99,2023-05-24,2026-01-19,6,0,PayPal,13,0
52,42,F,Premium,34.99,2024-09-25,2025-09-01,6,0,PayPal,153,1
53,27,D,Elite,49.99,2025-02-15,2025-10-21,6,5,SEPA,103,1
54,53,D,Elite,49.99,2025-05-30,2025-12-17,6,4,PayPal,46,0
55,21,F,Elite,49.99,2025-08-27,2025-10-09,5,0,SEPA,115,1
56,28,M,Basic,19.99,2024-09-27,2025-01-20,17,2,SEPA,377,1
57,52,M,Elite,49.99,2025-07-21,2025-11-04,6,0,PayPal,89,1
58,43,M,Basic,19.99,2023-01-12,2023-08-18,8,0,PayPal,898,1
59,45,M,Premium,34.99,2024-05-25,2024-09-26,2,0,Credit Card,493,1
60,51,F,Basic,19.99,2025-10-30,2025-12-23,5,0,SEPA,40,0
61,47,D,Basic,19.99,2024-07-21,2026-01-05,5,1,Credit Card,27,0
62,50,M,Basic,19.99,2024-11-18,2025-04-30,8,2,SEPA,277,1
63,42,F,Elite,49.99,2023-05-12,2024-07-09,6,3,Credit Card,572,1
64,46,M,Premium,34.99,2023-02-10,2025-03-30,6,2,Credit Card,308,0
65,30,F,Premium,34.99,2024-03-27,2025-08-08,4,1,Credit Card,177,1
66,24,D,Elite,49.99,2023-12-05,2025-03-27,11,3,SEPA,311,1
67,43,M,Premium,34.99,2023-06-21,2025-04-09,9,2,Credit Card,298,1
68,40,F,Premium,34.99,2024-10-31,2025-04-21,7,1,PayPal,286,1
69,38,M,Elite,49.99,2023-04-17,2025-12-16,17,5,SEPA,47,1
70,17,D,Basic,19.99,2024-05-21,2024-12-11,6,3,SEPA,417,1
71,39,M,Elite,49.99,2025-08-10,2025-10-14,2,0,SEPA,110,1
72,53,M,Premium,34.99,2024-09-29,2024-11-23,0,0,PayPal,435,1
73,53,D,Elite,49.99,2024-02-11,2024-04-28,8,6,PayPal,644,1
